Mortality Rate,2013 Survival Rate,Cancer Type,Use Me,Gender,Number of Records,Race,Survival Rate,Year
0.407,,Colon and rectum,females,females,1,All races,0.593,1989
0.387,,Colon and rectum,females,females,1,All races,0.613,1992
0.4,,Colon and rectum,females,females,1,All races,0.6,1995
0.375,,Colon and rectum,females,females,1,All races,0.625,1998
0.359,,Colon and rectum,females,females,1,All races,0.641,2001
0.34,,Colon and rectum,females,females,1,All races,0.66,2006
0.334,0.666,Colon and rectum,females,females,1,All races,0.666,2013
0.51,,Colon and rectum,males,males,1,All races,0.49,1977
0.498,,Colon and rectum,males,males,1,All races,0.502,1980
0.462,,Colon and rectum,males,males,1,All races,0.538,1983
0.423,,Colon and rectum,males,males,1,All races,0.577,1986
0.402,,Colon and rectum,males,males,1,All races,0.598,1989
0.39,,Colon and rectum,males,males,1,All races,0.61,1992
0.402,,Colon and rectum,males,males,1,All races,0.598,1995
0.376,,Colon and rectum,males,males,1,All races,0.624,1998
0.339,,Colon and rectum,males,males,1,All races,0.661,2001
0.341,,Colon and rectum,males,males,1,All races,0.659,2006
0.339,0.661,Colon and rectum,males,males,1,All races,0.661,2013
0.502,,Colon and rectum,total,total,1,All races,0.498,1977
0.488,,Colon and rectum,total,total,1,All races,0.512,1980
0.46,,Colon and rectum,total,total,1,All races,0.54,1983
0.423,,Colon and rectum,total,total,1,All races,0.577,1986
